Metric,Value
Train Data Size (MB),0.97
Test Data Size (MB),0.32
Train Identities,33
Test  Identities,36
Model Size (MB),0.0
CPU Usage (%),8.8
RAM Usage (%),51.2
Inference Latency PC (ms),17.22
Preprocessing Time (ms),1.27
