Identity,Total Samples,Correct,Accuracy (%)
Abdullah,1,1,100.0
AbdullahGul,1,1,100.0
AbelPacheco,1,1,100.0
AlanGreenspan,1,1,100.0
AleksanderKwasniewski,1,1,100.0
AmelieMauresmo,1,1,100.0
AngeloReyes,1,1,100.0
Ashanti,1,1,100.0
AugustinCalleri,1,1,100.0
BasharAssad,1,1,100.0
BenazirBhutto,1,1,100.0
BillPaxton,1,1,100.0
BobHuggins,1,1,100.0
BobStoops,1,1,100.0
BulentEcevit,1,1,100.0
ChandaRubin,1,1,100.0
ChoiSung-hong,1,0,0.0
ChristineBaumgartner,1,1,100.0
ChristineGregoire,1,1,100.0
ChristopherReeve,1,1,100.0
ChristopherWalken,1,1,100.0
ClaudiaPechstein,1,1,100.0
DavidTrimble,1,1,100.0
DennisHastert,1,1,100.0
EduardShevardnadze,1,1,100.0
ElianeKarp,1,1,100.0
FelipePerezRoque,1,1,100.0
FrankSolich,1,1,100.0
FranzFischler,1,1,100.0
GeorgePataki,1,1,100.0
GeorgeRobertson,1,0,0.0
GiuseppeGibilisco,1,1,100.0
GloriaMacapagalArroyo,1,1,100.0
HeidiFleiss,1,1,100.0
IainDuncanSmith,1,1,100.0
JacquesRogge,1,1,100.0
JenniferAniston,1,1,100.0
JenniferConnelly,1,1,100.0
JenniferGarner,1,1,100.0
JoeTorre,1,1,100.0
JohnAllenMuhammad,1,1,100.0
JohnSnow,1,1,100.0
JonathanEdwards,1,1,100.0
JuanPabloMontoya,1,1,100.0
JustinLeonard,1,1,100.0
JustinePasek,1,1,100.0
KamalKharrazi,1,1,100.0
KeanuReeves,1,1,100.0
KimDae-jung,1,1,100.0
KimJong-Il,1,1,100.0
LanceArmstrong,1,1,100.0
LiPeng,1,1,100.0
MianKhursheedMehmoodKasuri,1,1,100.0
MichaelJackson,1,1,100.0
MikeTyson,1,1,100.0
MikhailKasyanov,1,1,100.0
MuhammadAli,1,1,100.0
MuhammadSaeedal-Sahhaf,1,1,100.0
NadiaPetrova,1,1,100.0
NaotoKan,1,0,0.0
NestorKirchner,1,1,100.0
OxanaFedorova,1,1,100.0
ParadornSrichaphan,1,1,100.0
PaulBurrell,1,1,100.0
PaulONeill,1,1,100.0
PedroMalan,1,1,100.0
QueenBeatrix,1,1,100.0
RalfSchumacher,1,1,100.0
RecepTayyipErdogan,1,1,100.0
RichardMyers,1,0,0.0
RichardVirenque,1,1,100.0
RitaWilson,1,1,100.0
RobLowe,1,1,100.0
RobertBlake,1,1,100.0
RohMoo-hyun,1,0,0.0
RomanoProdi,1,1,100.0
RoyMoore,1,1,100.0
ScottPeterson,1,1,100.0
SergioVieiraDeMello,1,1,100.0
SilvioBerlusconi,1,1,100.0
SoniaGandhi,1,1,100.0
SpencerAbraham,1,1,100.0
SteffiGraf,1,1,100.0
SteveLavin,1,1,100.0
SusanSarandon,1,1,100.0
TariqAziz,1,1,100.0
ThaboMbeki,1,1,100.0
TigerWoods,1,1,100.0
TimAllen,1,1,100.0
TomCruise,1,1,100.0
TonyBennett,1,1,100.0
TonyBlair,1,1,100.0
TonyStewart,1,1,100.0
WayneFerreira,1,1,100.0
WinonaRyder,1,1,100.0
YaoMing,1,1,100.0
YevgenyKafelnikov,1,1,100.0
YorikoKawaguchi,1,0,0.0
YuShyi-kun,1,1,100.0
ZhangZiyi,1,1,100.0
