Identity,Total Samples,Correct,Accuracy (%)
hoang,8,8,100.0
s1,5,5,100.0
s10,9,9,100.0
s11,8,8,100.0
s12,8,8,100.0
s13,7,7,100.0
s14,8,8,100.0
s15,8,8,100.0
s16,5,5,100.0
s17,7,7,100.0
s18,8,8,100.0
s19,6,6,100.0
s2,7,7,100.0
s20,8,8,100.0
s21,8,8,100.0
s22,8,8,100.0
s23,8,8,100.0
s24,8,8,100.0
s25,5,4,80.0
s26,6,6,100.0
s27,8,8,100.0
s28,8,8,100.0
s29,8,8,100.0
s3,7,7,100.0
s30,7,7,100.0
s31,6,6,100.0
s32,7,7,100.0
s4,8,8,100.0
s5,5,5,100.0
s6,8,8,100.0
s7,8,8,100.0
s8,8,8,100.0
s9,8,8,100.0
