Threshold,TAR,FAR,FRR
0.05,0.0,0.0,1.0
0.060000000000000005,0.016,0.0,0.984
0.07,0.02,0.0,0.98
0.08000000000000002,0.036,0.0,0.964
0.09000000000000001,0.076,0.0,0.924
0.1,0.14,0.0,0.86
0.11000000000000001,0.172,0.0,0.828
0.12000000000000001,0.204,0.0,0.796
0.13,0.248,0.0,0.752
0.14,0.316,0.0,0.684
0.15000000000000002,0.396,0.0,0.604
0.16000000000000003,0.46,0.0,0.54
0.17000000000000004,0.512,0.0,0.488
0.18000000000000005,0.56,0.0,0.44
0.19,0.612,0.0,0.388
0.2,0.668,0.0,0.332
0.21000000000000002,0.712,0.0,0.288
0.22000000000000003,0.744,0.0,0.256
0.23000000000000004,0.772,0.0,0.228
0.24000000000000005,0.796,0.0,0.204
0.25000000000000006,0.824,0.0,0.176
0.26000000000000006,0.852,0.0,0.148
0.27,0.864,0.0,0.136
0.28,0.872,0.0,0.128
0.29000000000000004,0.896,0.0,0.104
0.30000000000000004,0.916,0.0,0.084
0.31000000000000005,0.924,0.0,0.076
0.32000000000000006,0.936,0.0,0.064
0.33,0.94,0.0,0.06
0.34,0.952,0.0,0.048
0.35000000000000003,0.96,0.0,0.04
0.36000000000000004,0.964,0.0,0.036
0.37000000000000005,0.968,0.0,0.032
0.38000000000000006,0.976,0.0,0.024
0.39000000000000007,0.976,0.0,0.024
0.4000000000000001,0.98,0.0,0.02
0.4100000000000001,0.98,0.0,0.02
0.42000000000000004,0.988,0.0,0.012
0.43000000000000005,0.988,0.0,0.012
0.44000000000000006,0.988,0.0,0.012
0.45000000000000007,0.992,0.0,0.008
0.4600000000000001,0.992,0.0,0.008
0.4700000000000001,0.992,0.0,0.008
0.4800000000000001,0.992,0.0,0.008
0.49000000000000005,0.992,0.0,0.008
0.5000000000000001,0.992,0.0,0.008
0.5100000000000001,0.992,0.0,0.008
0.5200000000000001,0.992,0.0,0.008
0.5300000000000001,0.996,0.0,0.004
0.5400000000000001,0.996,0.0,0.004
0.5500000000000002,0.996,0.0,0.004
0.5600000000000002,0.996,0.0,0.004
0.5700000000000002,1.0,0.0,0.0
0.5800000000000002,1.0,0.0,0.0
0.5900000000000002,1.0,0.0,0.0
0.6000000000000002,1.0,0.0,0.0
0.6100000000000001,1.0,0.0,0.0
0.6200000000000001,1.0,0.0,0.0
0.6300000000000001,1.0,0.0,0.0
0.6400000000000001,1.0,0.0,0.0
0.6500000000000001,1.0,0.0,0.0
0.6600000000000001,1.0,0.0,0.0
0.6700000000000002,1.0,0.0,0.0
0.6800000000000002,1.0,0.0,0.0
0.6900000000000002,1.0,0.0,0.0
0.7000000000000002,1.0,0.0,0.0
0.7100000000000002,1.0,0.0,0.0
0.7200000000000002,1.0,0.0,0.0
0.7300000000000002,1.0,0.0,0.0
0.7400000000000002,1.0,0.0,0.0
0.7500000000000002,1.0,0.0,0.0
0.7600000000000002,1.0,0.0,0.0
0.7700000000000002,1.0,0.0,0.0
0.7800000000000001,1.0,0.0,0.0
0.7900000000000001,1.0,0.0,0.0
0.8000000000000002,1.0,0.0,0.0
0.8100000000000002,1.0,0.0,0.0
0.8200000000000002,1.0,0.0,0.0
0.8300000000000002,1.0,0.0,0.0
0.8400000000000002,1.0,0.0,0.0
0.8500000000000002,1.0,0.0,0.0
0.8600000000000002,1.0,0.0,0.0
0.8700000000000002,1.0,0.0,0.0
0.8800000000000002,1.0,0.0,0.0
0.8900000000000002,1.0,0.0,0.0
0.9000000000000002,1.0,0.0,0.0
0.9100000000000003,1.0,0.0,0.0
0.9200000000000003,1.0,0.0,0.0
0.9300000000000002,1.0,0.0,0.0
0.9400000000000002,1.0,0.0,0.0
