Identity,Total Samples,Correct,Accuracy (%)
AbdullahGul,1,1,100.0
AdrienBrody,1,1,100.0
AhmedChalabi,1,1,100.0
AlSharpton,1,1,100.0
AlbertCosta,1,1,100.0
AlvaroUribe,1,1,100.0
AnnaKournikova,1,1,100.0
AntonioPalocci,1,1,100.0
AriFleischer,1,1,100.0
ArminioFraga,1,1,100.0
BenazirBhutto,1,1,100.0
BulentEcevit,1,1,100.0
CalistaFlockhart,1,1,100.0
CarlosMoya,1,1,100.0
CarmenElectra,1,1,100.0
CharlesTaylor,1,1,100.0
CiroGomes,1,1,100.0
ClayAiken,1,1,100.0
DavidNalbandian,1,1,100.0
DavidWells,1,1,100.0
EduardShevardnadze,1,1,100.0
ElizabethHurley,1,1,100.0
ElizabethSmart,1,1,100.0
EmanuelGinobili,1,1,100.0
ErikaHarold,1,1,100.0
GeoffHoon,1,1,100.0
GwynethPaltrow,1,0,0.0
HeidiKlum,1,1,100.0
HuJintao,1,1,100.0
JackStraw,1,1,100.0
JacquesChirac,1,0,0.0
JamesBlake,1,1,100.0
JamesWolfensohn,1,1,100.0
Jean-DavidLevitte,1,1,100.0
JebBush,1,1,100.0
JenniferGarner,1,1,100.0
JenniferLopez,1,1,100.0
JeongSe-hyun,1,1,100.0
JeremyGreenstock,1,0,0.0
JiangZemin,1,0,0.0
JimFuryk,1,1,100.0
JohnAshcroft,1,1,100.0
JohnBolton,1,1,100.0
JohnEdwards,1,1,100.0
JohnMcCain,1,1,100.0
JonathanEdwards,1,1,100.0
JoschkaFischer,1,1,100.0
JulianneMoore,1,1,100.0
KimRyong-sung,1,0,0.0
LanceBass,1,0,0.0
LeBronJames,1,1,100.0
LleytonHewitt,1,1,100.0
LucyLiu,1,0,0.0
LudivineSagnier,1,1,100.0
LuisGonzalezMacchi,1,1,100.0
LuisHorna,1,1,100.0
Madonna,1,1,100.0
MahathirMohamad,1,1,100.0
MarceloRios,1,1,100.0
MariaSoledadAlvearValenzuela,1,1,100.0
MarkPhilippoussis,1,1,100.0
MartinMcGuinness,1,1,100.0
MichaelPhelps,1,1,100.0
MichaelPowell,1,1,100.0
MichaelSchumacher,1,1,100.0
MikeMartz,1,1,100.0
MikeMyers,1,1,100.0
NancyPelosi,1,1,100.0
NaomiWatts,1,1,100.0
PaulMartin,1,1,100.0
PaulWolfowitz,1,1,100.0
PeteSampras,1,1,100.0
QueenRania,1,1,100.0
RichardGephardt,1,1,100.0
RichardMyers,1,1,100.0
RichardVirenque,1,1,100.0
RickPerry,1,1,100.0
RobMarshall,1,1,100.0
RobertDuvall,1,1,100.0
RobertZoellick,1,1,100.0
SaddamHussein,1,1,100.0
SarahHughes,1,1,100.0
SergeiIvanov,1,1,100.0
SharonStone,1,1,100.0
SherylCrow,1,1,100.0
SilvioBerlusconi,1,1,100.0
TahaYassinRamadan,1,0,0.0
ThaksinShinawatra,1,1,100.0
ThomasOBrien,1,1,100.0
TigerWoods,1,1,100.0
TomDaschle,1,1,100.0
TomHanks,1,1,100.0
TomHarkin,1,1,100.0
TomRidge,1,1,100.0
VaclavHavel,1,1,100.0
ValentinoRossi,1,1,100.0
VicenteFox,1,1,100.0
XananaGusmao,1,1,100.0
ZhuRongji,1,0,0.0
ZinedineZidane,1,1,100.0
